Model,MAE,MSE,R2
Linear Regression,9299407686.944855,7.217289602432982e+21,0.2654527656920612
Decision Tree Regressor,4230390034.8297668,1.0916219245359813e+22,0.4594182313960045
Random Forest Regressor,2256275879.8422575,2.192848430750725e+21,0.7726376623351269
Gradient Boosting Regressor,2368107363.5731897,1.747492407866322e+21,0.8402214754474329
Support Vector Regression,9579243264.49276,7.601508169682072e+21,0.06211998709572865
K-Nearest Neighbors Regressor,4258931632.0816636,7.016594261024026e+21,0.5736031142926
XGBoost Regressor,2383228177.334647,1.6616101359610427e+21,0.8539018790211799
LightGBM Regressor,5725874153.580956,4.585845302295339e+21,0.6929691565837169
ElasticNet Regression,8663153251.763565,7.177536154413308e+21,0.22720463347370742
