Model,MAE,MSE,R²
GradientBoostingRegressor,362670248.60909367,8.964580102548005e+18,0.998653471587304
NeuralNetwork,11708395022.975124,1.2301706216624817e+22,-0.34325151305046175
RandomForestRegressor,2533722946.419307,3.961296404909047e+21,0.8619302151695027
Transformer,6009404494.214093,1.0236102665785278e+22,0.25770519068294256
StackingRegressor,4435182386.706053,9.577755817585093e+21,0.32102403786847805
SupportVectorRegressor,90028613336.76537,6.607267049618946e+22,-0.4925673142265999
MultiTaskLasso,10028841972.652761,9.094514463624607e+21,0.576789894679313
BayesianRegression,12747250892.743088,1.1061425913593277e+22,-0.016695698443680764
