"vf","ematerial","fmaterial","c44","e15","q15","μ11","ϵ11","α11","ρ"
0.05,1,1,4.76657087764155e10,0.015891104909231044,496.35622354478755,0.0001422813709311692,9.727373332703484e-11,-4.046667731750246e-12,5320.
0.1,1,1,4.828090381321825e10,0.027297927518965988,449.90067729525583,0.00012940956472543968,1.077914056375584e-10,-6.693663643197049e-12,5340.
0.15000000000000002,1,1,4.893926737718552e10,0.039258424655547346,409.48566719079906,0.00011822242312580401,1.1889137298558263e-10,-9.065879010759002e-12,5360.
0.2,1,1,4.962149603608469e10,0.05245334883526076,372.49708166187094,0.0001079909271700752,1.3110737259314618e-10,-1.1279715750199463e-11,5380.
0.25,1,1,5.03198509645734e10,0.06735100591903476,338.03564645007555,0.00009846421659774976,1.4482129633423132e-10,-1.3374011959535546e-11,5400.
0.3,1,1,5.1030129723098e10,0.08442670837041041,305.6849279880802,0.00008952609586043324,1.6042988205561492e-10,-1.5365779766324263e-11,5420.
0.35,1,1,5.174960020753837e10,0.1042436895665933,275.20898780177987,0.00008111073127023034,1.784085901267709e-10,-1.7263763460283845e-11,5440.
0.39999999999999997,1,1,5.247619228120667e10,0.12751892269213158,246.44905232837212,0.00007317383444114621,1.9936588710941693e-10,-1.9072922914627186e-11,5460.
0.44999999999999996,1,1,5.3208064898890686e10,0.15520524585816012,219.28205755940246,0.00006568109745257926,2.241124723682302e-10,-2.0796037502754646e-11,5480.
0.49999999999999994,1,1,5.394328425896001e10,0.18861328514582149,193.60262649816468,0.000058603162155239534,2.537648537110583e-10,-2.2434122627504837e-11,5500.
0.5499999999999999,1,1,5.467948827817609e10,0.22960786729492538,169.31500257871056,0.000051913366180534804,2.899126375799536e-10,-2.398617135721969e-11,5520.
0.6,1,1,5.541342635805034e10,0.28094373519166355,146.3294923383327,0.00004558674692955626,3.349047199130029e-10,-2.5448273792623318e-11,5540.
0.65,1,1,5.6140200523828186e10,0.3468747573356722,124.5610019390206,0.00003959962985109917,3.923687841411655e-10,-2.6811817461607182e-11,5560.
0.7000000000000001,1,1,5.685184367539295e10,0.43433976399778407,103.9285333518627,0.000033929484338883324,4.682226202456483e-10,-2.8059901443216916e-11,5580.
0.7500000000000001,1,1,5.753434085086411e10,0.5554828099371545,84.35509370129223,0.00002855489394184844,5.728235640360789e-10,-2.915969252918082e-11,5600.
0.8000000000000002,1,1,5.816055828458199e10,0.7336657254102382,65.76775950542243,0.000023455566442545346,7.260964421313191e-10,-3.004419682975684e-11,5620.
0.8500000000000002,1,1,5.867046147462988e10,1.0203156549873427,48.097797635421365,0.000018612348400044373,9.719024427589807e-10,-3.0561204447012054e-11,5640.
0.9000000000000002,1,1,5.8900410442783264e10,1.5551676903859606,31.28090704112303,0.000014007226730657198,1.429418695304874e-9,-3.029075610520298e-11,5660.000000000001
0.9500000000000003,1,1,5.8193377942738266e10,2.8984020964538724,15.258385680488857,9.623294475077517e-6,2.5764106619701195e-9,-2.7538807473581663e-11,5680.
