"material_code","c55f","e15f","q15f","ϵ11f","μ11f","α11f","ρf"
1,4.53e10,0,550,8.000000000000001e-11,0.000157,0,5300
2,5.99e9,0,167.66,0.1504,3.97e-6,0,9230
3,43000000000,0,1.5e-6,1.33e-10,0.00126,1.0e-9,5200
4,32.3e9,0,1.1e-6,1.e-10,0.0045000000000000005,1.0e-9,5400
5,4.375e11,0,1.8e-6,1.1000000000000001e-10,0.005,2.0e-9,5000
